date,sales,revenue,units_sold,temperature,day_of_week,is_weekend,is_promotion,is_event,month,season
2022-02-12,5465.0,5465.0,121,-9.884635990980122,5,1,0,0,2,winter
2022-02-13,4857.48,4857.48,108,-11.221201565051087,6,1,0,0,2,winter
2022-02-14,3657.92,3657.92,81,-20.821542930761993,0,0,0,0,2,winter
2022-02-15,4228.33,4228.33,94,-14.285231434136868,1,0,0,0,2,winter
2022-02-16,3909.64,3909.64,87,-11.90873399773939,2,0,0,0,2,winter
2022-02-17,5462.77,5462.77,121,0.9581177746743776,3,0,0,0,2,winter
2022-02-18,5190.5,5190.5,115,-4.766578411377721,4,0,0,0,2,winter
2022-02-19,5372.98,5372.98,119,-22.09863454708911,5,1,0,0,2,winter
2022-02-20,6336.16,6336.16,141,-4.480307856780202,6,1,0,0,2,winter
2022-02-21,3877.06,3877.06,86,-10.162273067012068,0,0,0,0,2,winter
2022-02-22,3538.65,3538.65,79,-12.364456795322482,1,0,0,0,2,winter
2022-02-23,4823.0,4823.0,107,-1.3943314812492353,2,0,0,0,2,winter
2022-02-24,5660.32,5660.32,126,2.333758648281507,3,0,0,0,2,winter
2022-02-25,6626.82,6626.82,147,1.7383478212120602,4,0,0,0,2,winter
2022-02-26,5359.81,5359.81,119,-12.77843045384276,5,1,0,0,2,winter
2022-02-27,5414.35,5414.35,120,-8.122637942120218,6,1,0,0,2,winter
2022-02-28,4276.99,4276.99,95,-2.5446132376158745,0,0,0,0,2,winter
2022-03-01,4937.43,4937.43,110,3.066699232107961,1,0,0,0,3,winter
2022-03-02,6055.87,6055.87,135,-8.812163574096218,2,0,0,0,3,winter
2022-03-03,4633.4,4633.4,103,-6.120976508709479,3,0,0,0,3,winter
2022-03-04,5916.48,5916.48,131,-13.546694609926037,4,0,0,0,3,winter
2022-03-05,6568.61,6568.61,146,-14.047760897017174,5,1,0,0,3,winter
2022-03-06,6344.0,6344.0,141,2.9407490932088463,6,1,0,0,3,winter
2022-03-07,4766.28,4766.28,106,7.72190874800094,0,0,0,0,3,winter
2022-03-08,5135.03,5135.03,114,-3.9289070415652647,1,0,0,0,3,winter
2022-03-09,5128.27,5128.27,114,5.2862066510709145,2,0,0,0,3,winter
2022-03-10,5697.12,5697.12,127,0.19023289441495495,3,0,0,0,3,winter
2022-03-11,5672.17,5672.17,126,-7.945395117764866,4,0,0,0,3,winter
2022-03-12,7035.35,7035.35,156,0.6969977359392323,5,1,0,0,3,winter
2022-03-13,5694.75,5694.75,127,10.757789805517438,6,1,0,0,3,winter
2022-03-14,,4896.96,109,-2.1016709994065534,0,0,0,0,3,winter
2022-03-15,5024.47,5024.47,112,11.492171670071864,1,0,0,0,3,winter
2022-03-16,4928.56,4928.56,110,-23.12068118180957,2,0,0,0,3,winter
2022-03-17,5579.14,5579.14,124,5.817151134425401,3,0,0,0,3,winter
2022-03-18,5291.05,5291.05,118,-0.04890277303071289,4,0,0,0,3,winter
2022-03-19,7408.74,7408.74,165,-3.0080520948900817,5,1,0,0,3,winter
2022-03-20,,5464.06,121,0.5064727954583323,6,1,0,0,3,winter
2022-03-21,3843.13,3843.13,85,-16.563074288340776,0,0,0,0,3,winter
2022-03-22,4812.67,4812.67,107,-1.5723987229750793,1,0,0,0,3,winter
2022-03-23,,5922.91,132,3.4922622702724064,2,0,0,0,3,winter
2022-03-24,4658.88,4658.88,104,13.090078714528108,3,0,0,0,3,winter
2022-03-25,7734.59,7734.59,172,-3.2868820835789307,4,0,0,0,3,winter
2022-03-26,6950.64,6950.64,154,-5.447974709714867,5,1,0,0,3,winter
2022-03-27,6010.03,6010.03,134,-2.634783234826282,6,1,0,0,3,winter
2022-03-28,4759.88,4759.88,106,9.431471654340909,0,0,0,0,3,winter
2022-03-29,5178.64,5178.64,115,4.7987741621963425,1,0,0,0,3,winter
2022-03-30,5567.85,5567.85,124,-2.100036054761106,2,0,0,0,3,winter
2022-03-31,5917.39,5917.39,131,6.846625772000131,3,0,0,0,3,winter
2022-04-01,6465.27,6465.27,144,3.1469924788087975,4,0,0,0,4,spring
2022-04-02,6801.57,6801.57,151,6.305384133138919,5,1,0,0,4,spring
2022-04-03,5815.83,5815.83,129,0.9886457154713075,6,1,0,0,4,spring
2022-04-04,4725.6,4725.6,105,2.4878843347633577,0,0,0,0,4,spring
2022-04-05,4985.65,4985.65,111,2.5232722496356126,1,0,0,0,4,spring
2022-04-06,5830.41,5830.41,130,-0.7990107974288128,2,0,0,0,4,spring
2022-04-07,5893.43,5893.43,131,5.314304083424388,3,0,0,0,4,spring
2022-04-08,4732.4,4732.4,105,5.444002610443967,4,0,0,0,4,spring
2022-04-09,7103.52,7103.52,158,4.836089780860337,5,1,0,0,4,spring
2022-04-10,5996.46,5996.46,133,4.28088638266121,6,1,0,0,4,spring
2022-04-11,4771.52,4771.52,106,0.5872393591441938,0,0,0,0,4,spring
2022-04-12,4901.18,4901.18,109,4.143717067475565,1,0,0,0,4,spring
2022-04-13,5817.84,5817.84,129,4.642569371898208,2,0,0,0,4,spring
2022-04-14,6042.66,6042.66,134,3.3480622740175323,3,0,0,0,4,spring
2022-04-15,5794.44,5794.44,129,5.720285000298055,4,0,0,0,4,spring
2022-04-16,6954.47,6954.47,155,7.838470077638262,5,1,0,0,4,spring
2022-04-17,5432.84,5432.84,121,13.010726463474594,6,1,0,0,4,spring
2022-04-18,4240.44,4240.44,94,7.5351801063155595,0,0,0,0,4,spring
2022-04-19,4791.52,4791.52,106,8.039508904146041,1,0,0,0,4,spring
2022-04-20,5689.09,5689.09,126,7.1584801998457674,2,0,0,0,4,spring
2022-04-21,6025.87,6025.87,134,1.2341601067847616,3,0,0,0,4,spring
2022-04-22,6407.93,6407.93,142,7.762854525652531,4,0,0,0,4,spring
2022-04-23,7100.02,7100.02,158,8.270844939544583,5,1,0,0,4,spring
2022-04-24,6110.47,6110.47,136,16.497336739131917,6,1,0,0,4,spring
2022-04-25,4503.6,4503.6,100,7.85932312842969,0,0,0,0,4,spring
2022-04-26,5196.51,5196.51,115,9.717161909585723,1,0,0,0,4,spring
2022-04-27,5637.38,5637.38,125,8.805194405393973,2,0,0,0,4,spring
2022-04-28,5909.02,5909.02,131,5.231559592995117,3,0,0,0,4,spring
2022-04-29,6707.76,6707.76,149,13.140110608329747,4,0,0,0,4,spring
2022-04-30,7054.87,7054.87,157,12.03792795564191,5,1,0,0,4,spring
2022-05-01,6001.14,6001.14,133,12.366216572334878,6,1,0,0,5,spring
2022-05-02,5125.25,5125.25,114,6.893227757651712,0,0,0,0,5,spring
2022-05-03,4983.66,4983.66,111,14.792635318947845,1,0,0,0,5,spring
2022-05-04,4895.23,4895.23,109,5.632954632380733,2,0,0,0,5,spring
2022-05-05,8061.51,8061.51,179,12.448065218442274,3,0,1,0,5,spring
2022-05-06,8567.47,8567.47,190,17.97636808692655,4,0,1,0,5,spring
2022-05-07,9121.37,9121.37,203,7.5528728240030585,5,1,1,0,5,spring
2022-05-08,5730.83,5730.83,127,9.143596245783876,6,1,0,0,5,spring
2022-05-09,4391.26,4391.26,98,11.536752532407132,0,0,0,0,5,spring
2022-05-10,4836.64,4836.64,107,9.696334946791106,1,0,0,0,5,spring
2022-05-11,4436.36,4436.36,99,6.372344299705291,2,0,0,0,5,spring
2022-05-12,5591.04,5591.04,124,11.932981015415058,3,0,0,0,5,spring
2022-05-13,6040.41,6040.41,134,8.323172472264641,4,0,0,0,5,spring
2022-05-14,,6150.78,137,13.599057758070753,5,1,0,0,5,spring
2022-05-15,6054.57,6054.57,135,9.108338437664404,6,1,0,0,5,spring
2022-05-16,4998.7,4998.7,111,17.488596316261344,0,0,0,0,5,spring
2022-05-17,4284.77,4284.77,95,9.856715087699662,1,0,0,0,5,spring
2022-05-18,4867.24,4867.24,108,11.53573769716492,2,0,0,0,5,spring
2022-05-19,5113.79,5113.79,114,15.458980430811817,3,0,0,0,5,spring
2022-05-20,5535.77,5535.77,123,8.778578319357191,4,0,0,0,5,spring
2022-05-21,6953.74,6953.74,155,13.770045102957717,5,1,0,0,5,spring
2022-05-22,5609.53,5609.53,125,17.495518091438402,6,1,0,0,5,spring
2022-05-23,4508.53,4508.53,100,7.902735200613028,0,0,0,0,5,spring
2022-05-24,4089.18,4089.18,91,13.99516639200091,1,0,0,0,5,spring
2022-05-25,5393.76,5393.76,120,14.360739025611727,2,0,0,0,5,spring
2022-05-26,4860.06,4860.06,108,16.21128343129724,3,0,0,0,5,spring
2022-05-27,5953.82,5953.82,132,9.588750786519732,4,0,0,0,5,spring
2022-05-28,6597.36,6597.36,147,9.413047272135266,5,1,0,0,5,spring
2022-05-29,,6252.34,139,15.652930472410942,6,1,0,0,5,spring
2022-05-30,4080.16,4080.16,91,14.997507343121164,0,0,0,0,5,spring
2022-05-31,3653.93,3653.93,81,14.93281703694802,1,0,0,0,5,spring
2022-06-01,5370.45,5370.45,119,15.916186858892017,2,0,0,0,6,summer
2022-06-02,6363.63,6363.63,141,10.86572413653485,3,0,0,0,6,summer
2022-06-03,6714.42,6714.42,149,15.504790884683601,4,0,0,0,6,summer
2022-06-04,6765.17,6765.17,150,15.882309124577919,5,1,0,0,6,summer
2022-06-05,5583.81,5583.81,124,10.914341974690984,6,1,0,0,6,summer
2022-06-06,5000.88,5000.88,111,23.879831383496388,0,0,0,0,6,summer
2022-06-07,4578.9,4578.9,102,16.980671432145243,1,0,0,0,6,summer
2022-06-08,5432.14,5432.14,121,8.711207636571608,2,0,0,0,6,summer
2022-06-09,5721.18,5721.18,127,18.00236509724329,3,0,0,0,6,summer
2022-06-10,6550.54,6550.54,146,9.893698900144775,4,0,0,0,6,summer
2022-06-11,8027.79,8027.79,178,18.745664654622054,5,1,0,0,6,summer
2022-06-12,5924.33,5924.33,132,20.641965321347314,6,1,0,0,6,summer
2022-06-13,4452.78,4452.78,99,10.779921549510432,0,0,0,0,6,summer
2022-06-14,4896.12,4896.12,109,19.730149249630887,1,0,0,0,6,summer
2022-06-15,5148.8,5148.8,114,17.002689576890177,2,0,0,1,6,summer
2022-06-16,5129.98,5129.98,114,19.070175396594784,3,0,0,0,6,summer
2022-06-17,5769.01,5769.01,128,24.4604962306032,4,0,0,0,6,summer
2022-06-18,6222.4,6222.4,138,13.7618095885809,5,1,0,0,6,summer
2022-06-19,5741.64,5741.64,128,11.227846707910917,6,1,0,0,6,summer
2022-06-20,4282.03,4282.03,95,10.552288947915235,0,0,0,0,6,summer
2022-06-21,5278.72,5278.72,117,10.919698454993876,1,0,0,0,6,summer
2022-06-22,5104.01,5104.01,113,14.60768566323984,2,0,0,0,6,summer
2022-06-23,5358.55,5358.55,119,16.688955607858723,3,0,0,0,6,summer
2022-06-24,5733.31,5733.31,127,16.35221140963098,4,0,0,0,6,summer
2022-06-25,6490.53,6490.53,144,19.08579977149267,5,1,0,0,6,summer
2022-06-26,5968.56,5968.56,133,14.991589125899997,6,1,0,0,6,summer
2022-06-27,4210.1,4210.1,94,22.1665231247978,0,0,0,0,6,summer
2022-06-28,4529.22,4529.22,101,13.54342679371204,1,0,0,0,6,summer
2022-06-29,5524.27,5524.27,123,28.4310096864332,2,0,0,1,6,summer
2022-06-30,4722.11,4722.11,105,17.917558988282487,3,0,0,0,6,summer
2022-07-01,5429.13,5429.13,121,10.458110497618321,4,0,0,0,7,summer
2022-07-02,6084.91,6084.91,135,9.33974288437679,5,1,0,0,7,summer
2022-07-03,5910.97,5910.97,131,17.052520335701452,6,1,0,0,7,summer
2022-07-04,4557.37,4557.37,101,13.464459022806665,0,0,0,0,7,summer
2022-07-05,4790.11,4790.11,106,18.08906921582142,1,0,0,0,7,summer
2022-07-06,5307.78,5307.78,118,16.818246351329954,2,0,0,0,7,summer
2022-07-07,5163.57,5163.57,115,14.016622691525082,3,0,0,0,7,summer
2022-07-08,5910.98,5910.98,131,10.07124635911466,4,0,0,0,7,summer
2022-07-09,6189.39,6189.39,138,6.65118757675325,5,1,0,0,7,summer
2022-07-10,5565.96,5565.96,124,11.908842390521205,6,1,0,0,7,summer
2022-07-11,4198.29,4198.29,93,18.335214166048836,0,0,0,0,7,summer
2022-07-12,3745.67,3745.67,83,15.031327686220711,1,0,0,0,7,summer
2022-07-13,5688.33,5688.33,126,7.63566693933646,2,0,0,1,7,summer
2022-07-14,5737.04,5737.04,127,14.629659020146816,3,0,0,0,7,summer
2022-07-15,6073.99,6073.99,135,15.585656350057429,4,0,0,0,7,summer
2022-07-16,6632.76,6632.76,147,9.131049853864603,5,1,0,0,7,summer
2022-07-17,5909.03,5909.03,131,14.206214890751275,6,1,0,0,7,summer
2022-07-18,4375.54,4375.54,97,13.611903431672399,0,0,0,0,7,summer
2022-07-19,4664.03,4664.03,104,7.485331570449921,1,0,0,0,7,summer
2022-07-20,4598.42,4598.42,102,14.864531582381245,2,0,0,0,7,summer
2022-07-21,4953.93,4953.93,110,15.751054552589842,3,0,0,0,7,summer
2022-07-22,5855.06,5855.06,130,18.230088762123792,4,0,0,0,7,summer
2022-07-23,6661.26,6661.26,148,17.947746120470462,5,1,0,0,7,summer
2022-07-24,5247.46,5247.46,117,5.650535351494101,6,1,0,0,7,summer
2022-07-25,4133.48,4133.48,92,7.706187781283031,0,0,0,0,7,summer
2022-07-26,4531.97,4531.97,101,14.82324710773204,1,0,0,0,7,summer
2022-07-27,5925.61,5925.61,132,14.666128949375215,2,0,0,1,7,summer
2022-07-28,5206.37,5206.37,116,14.517981388269478,3,0,0,1,7,summer
2022-07-29,4047.08,4047.08,90,31.048405279454325,4,0,0,0,7,summer
2022-07-30,5734.48,5734.48,127,14.477713173971445,5,1,0,0,7,summer
2022-07-31,4727.82,4727.82,105,17.136157392761135,6,1,0,0,7,summer
2022-08-01,4658.83,4658.83,104,16.060011230446136,0,0,0,1,8,summer
2022-08-02,4489.78,4489.78,100,14.375286419257929,1,0,0,0,8,summer
2022-08-03,4614.11,4614.11,103,9.367017088095585,2,0,0,0,8,summer
2022-08-04,5615.77,5615.77,125,14.559999807605767,3,0,0,0,8,summer
2022-08-05,5669.42,5669.42,126,6.71962807891981,4,0,0,0,8,summer
2022-08-06,6161.9,6161.9,137,9.215125369604621,5,1,0,0,8,summer
2022-08-07,5518.11,5518.11,123,7.784783403009724,6,1,0,0,8,summer
2022-08-08,3861.27,3861.27,86,10.430328660134615,0,0,0,0,8,summer
2022-08-09,4864.33,4864.33,108,21.400638191503823,1,0,0,0,8,summer
2022-08-10,5290.76,5290.76,118,0.2944947355897156,2,0,0,1,8,summer
2022-08-11,5241.09,5241.09,116,12.862743170810083,3,0,0,0,8,summer
2022-08-12,4994.79,4994.79,111,1.165689643501656,4,0,0,0,8,summer
2022-08-13,5211.13,5211.13,116,6.664701619426671,5,1,0,0,8,summer
2022-08-14,5539.34,5539.34,123,14.261531769223929,6,1,0,0,8,summer
2022-08-15,5918.06,5918.06,132,8.927984114042182,0,0,1,0,8,summer
2022-08-16,5972.54,5972.54,133,3.005115046506117,1,0,1,0,8,summer
2022-08-17,5805.01,5805.01,129,4.602088031809924,2,0,1,0,8,summer
2022-08-18,5366.25,5366.25,119,11.35893946710238,3,0,0,0,8,summer
2022-08-19,4893.24,4893.24,109,4.08910270665211,4,0,0,0,8,summer
2022-08-20,6665.62,6665.62,148,8.600920149596512,5,1,0,0,8,summer
2022-08-21,4777.18,4777.18,106,7.521949806149419,6,1,0,0,8,summer
2022-08-22,4374.62,4374.62,97,3.809390877078871,0,0,0,0,8,summer
2022-08-23,4285.53,4285.53,95,17.558320849253512,1,0,0,0,8,summer
2022-08-24,5352.74,5352.74,119,9.777376876847482,2,0,0,1,8,summer
2022-08-25,4665.79,4665.79,104,-3.7507078337447233,3,0,0,0,8,summer
2022-08-26,5289.71,5289.71,118,7.072610956081458,4,0,0,0,8,summer
2022-08-27,5859.01,5859.01,130,2.5949218260050615,5,1,0,0,8,summer
2022-08-28,4694.86,4694.86,104,9.927786152040593,6,1,0,0,8,summer
2022-08-29,4371.89,4371.89,97,1.463102268783012,0,0,0,0,8,summer
2022-08-30,4186.11,4186.11,93,4.610502482726507,1,0,0,0,8,summer
2022-08-31,4518.83,4518.83,100,7.466063628270241,2,0,0,0,8,summer
2022-09-01,4175.49,4175.49,93,7.582456261271142,3,0,0,0,9,fall
2022-09-02,3962.9,3962.9,88,0.4497042655831063,4,0,0,0,9,fall
2022-09-03,5349.26,5349.26,119,3.0884560085184107,5,1,0,0,9,fall
2022-09-04,5665.04,5665.04,126,2.3718313537169182,6,1,0,0,9,fall
2022-09-05,4081.43,4081.43,91,1.5275685986349932,0,0,0,0,9,fall
2022-09-06,4056.27,4056.27,90,9.33943252106284,1,0,0,0,9,fall
2022-09-07,4916.61,4916.61,109,4.552752768133461,2,0,0,1,9,fall
2022-09-08,4514.19,4514.19,100,-1.2528531675465038,3,0,0,0,9,fall
2022-09-09,51694.399999999994,5169.44,115,5.756038609399356,4,0,0,0,9,fall
2022-09-10,4888.72,4888.72,109,9.515959184119868,5,1,0,0,9,fall
2022-09-11,5141.17,5141.17,114,5.62853882230195,6,1,0,0,9,fall
2022-09-12,4037.1,4037.1,90,-3.133343891391325,0,0,0,0,9,fall
2022-09-13,4272.63,4272.63,95,0.06077153060458884,1,0,0,0,9,fall
2022-09-14,4411.79,4411.79,98,5.641088411213396,2,0,0,0,9,fall
2022-09-15,4491.0,4491.0,100,-1.1981010302273243,3,0,0,0,9,fall
2022-09-16,5194.99,5194.99,115,2.382597254307657,4,0,0,0,9,fall
2022-09-17,562.951,5629.51,125,3.227447006499082,5,1,0,0,9,fall
2022-09-18,4567.77,4567.77,102,-2.7024916351866137,6,1,0,0,9,fall
2022-09-19,3629.29,3629.29,81,-0.06931290020900316,0,0,0,0,9,fall
2022-09-20,3855.87,3855.87,86,-10.933329420227228,1,0,0,0,9,fall
2022-09-21,5283.02,5283.02,117,-3.8019020745212853,2,0,0,1,9,fall
2022-09-22,4027.19,4027.19,89,-1.4872273330451562,3,0,0,0,9,fall
2022-09-23,4121.9,4121.9,92,-5.062476433703058,4,0,0,0,9,fall
2022-09-24,,5432.29,121,4.280573824603503,5,1,0,0,9,fall
2022-09-25,4474.11,4474.11,99,-6.185189173793432,6,1,0,0,9,fall
2022-09-26,3849.11,3849.11,86,-3.141700062482029,0,0,0,0,9,fall
2022-09-27,4097.76,4097.76,91,-1.4954207375017385,1,0,0,0,9,fall
2022-09-28,4166.54,4166.54,93,2.6172563430889353,2,0,0,0,9,fall
2022-09-29,4747.75,4747.75,106,-7.228312364675878,3,0,0,0,9,fall
2022-09-30,4282.87,4282.87,95,1.1807137212997665,4,0,0,0,9,fall
2022-10-01,5003.56,5003.56,111,-2.91598314350502,5,1,0,0,10,fall
2022-10-02,4418.03,4418.03,98,-6.474509235090109,6,1,0,0,10,fall
2022-10-03,3297.49,3297.49,73,-1.914240139248277,0,0,0,0,10,fall
2022-10-04,3964.0,3964.0,88,-3.0418003886357954,1,0,0,0,10,fall
2022-10-05,5348.72,5348.72,119,-5.955705314782757,2,0,0,1,10,fall
2022-10-06,4476.77,4476.77,99,-3.9707865113548446,3,0,0,0,10,fall
2022-10-07,4757.98,4757.98,106,-5.735070945308219,4,0,0,0,10,fall
2022-10-08,4825.44,4825.44,107,-4.318214463199907,5,1,0,0,10,fall
2022-10-09,4465.74,4465.74,99,-2.734024984964463,6,1,0,0,10,fall
2022-10-10,3689.99,3689.99,82,0.10253803042350729,0,0,0,0,10,fall
2022-10-11,3730.95,3730.95,83,-9.551757623702676,1,0,0,0,10,fall
2022-10-12,4692.02,4692.02,104,1.4444917707947527,2,0,0,0,10,fall
2022-10-13,4447.88,4447.88,99,-12.41081348158867,3,0,0,0,10,fall
2022-10-14,4269.65,4269.65,95,-6.646289699019594,4,0,0,0,10,fall
2022-10-15,5490.88,5490.88,122,-4.41394774459472,5,1,0,0,10,fall
2022-10-16,4657.42,4657.42,103,-5.671142206140653,6,1,0,0,10,fall
2022-10-17,3959.18,3959.18,88,-8.91426546869553,0,0,0,0,10,fall
2022-10-18,4330.53,4330.53,96,-7.76113344963221,1,0,0,0,10,fall
2022-10-19,4261.59,4261.59,95,-8.93742705549313,2,0,0,1,10,fall
2022-10-20,4000.68,4000.68,89,-9.483176391500672,3,0,0,0,10,fall
2022-10-21,4459.04,4459.04,99,-4.908928875167707,4,0,0,0,10,fall
2022-10-22,5046.3,5046.3,112,-6.770899102545506,5,1,0,0,10,fall
2022-10-23,4671.86,4671.86,104,-10.488305228978609,6,1,0,0,10,fall
2022-10-24,3937.64,3937.64,88,-5.395172684708475,0,0,0,0,10,fall
2022-10-25,3844.33,3844.33,85,-7.582252282309501,1,0,0,0,10,fall
2022-10-26,3982.28,3982.28,88,-6.107238388257233,2,0,0,0,10,fall
2022-10-27,4358.74,4358.74,97,-6.925598141961799,3,0,0,0,10,fall
2022-10-28,4425.4,4425.4,98,-11.99258570252349,4,0,0,0,10,fall
2022-10-29,6044.89,6044.89,134,-11.298712352927417,5,1,0,0,10,fall
2022-10-30,,3953.45,88,-7.139842014804248,6,1,0,0,10,fall
2022-10-31,3731.48,3731.48,83,-7.792777806691392,0,0,0,0,10,fall
2022-11-01,4529.25,4529.25,101,-10.090629943083494,1,0,0,0,11,fall
2022-11-02,4877.18,4877.18,108,-9.8205098644593,2,0,0,1,11,fall
2022-11-03,4276.28,4276.28,95,-6.14033541734324,3,0,0,0,11,fall
2022-11-04,4646.04,4646.04,103,-12.555658781060426,4,0,0,0,11,fall
2022-11-05,5149.23,5149.23,114,-8.941495767905963,5,1,0,0,11,fall
2022-11-06,5080.62,5080.62,113,-11.617338819410294,6,1,0,0,11,fall
2022-11-07,3054.42,3054.42,68,-11.843934173486337,0,0,0,0,11,fall
2022-11-08,4417.77,4417.77,98,-7.627412906356157,1,0,0,0,11,fall
2022-11-09,3685.88,3685.88,82,-8.706941361898043,2,0,0,0,11,fall
2022-11-10,4291.68,4291.68,95,-8.911561833836814,3,0,0,0,11,fall
2022-11-11,4665.19,4665.19,104,-7.433151802332953,4,0,0,0,11,fall
2022-11-12,5526.98,5526.98,123,-11.8727301512967,5,1,0,0,11,fall
2022-11-13,4034.51,4034.51,90,-9.824022623830956,6,1,0,0,11,fall
2022-11-14,3889.49,3889.49,86,-13.282293293666923,0,0,0,0,11,fall
2022-11-15,4622.12,4622.12,103,-11.314758472563835,1,0,0,0,11,fall
2022-11-16,3747.19,3747.19,83,-12.972692372505163,2,0,0,0,11,fall
2022-11-17,4501.96,4501.96,100,-12.355415976986889,3,0,0,0,11,fall
2022-11-18,4627.65,4627.65,103,-10.830975794791025,4,0,0,0,11,fall
2022-11-19,4940.55,4940.55,110,-15.67453419819358,5,1,0,0,11,fall
2022-11-20,4687.72,4687.72,104,-6.100970528354957,6,1,0,0,11,fall
2022-11-21,3221.89,3221.89,72,-16.553574331268706,0,0,0,0,11,fall
2022-11-22,3743.0,3743.0,83,-17.3681552154015,1,0,0,0,11,fall
2022-11-23,4872.18,4872.18,108,-9.577219782690074,2,0,0,0,11,fall
2022-11-24,4421.33,4421.33,98,-10.911461388327142,3,0,0,0,11,fall
2022-11-25,6815.02,6815.02,151,-11.578670061239393,4,0,1,0,11,fall
2022-11-26,6373.26,6373.26,142,-11.669269360009967,5,1,1,0,11,fall
2022-11-27,603.532,6035.32,134,-13.905183409052782,6,1,1,0,11,fall
2022-11-28,3570.49,3570.49,79,-16.95170687052246,0,0,0,0,11,fall
2022-11-29,4563.58,4563.58,101,-13.800538333785719,1,0,0,0,11,fall
2022-11-30,3969.93,3969.93,88,-16.398622855896683,2,0,0,0,11,fall
2022-12-01,4860.65,4860.65,108,-6.0994259217013145,3,0,0,0,12,winter
2022-12-02,4915.38,4915.38,109,-15.53069312864117,4,0,0,0,12,winter
2022-12-03,4834.88,4834.88,107,-21.25991056141371,5,1,0,0,12,winter
2022-12-04,4937.11,4937.11,110,-17.13027357557051,6,1,0,0,12,winter
2022-12-05,4570.02,4570.02,102,-11.077971293064092,0,0,0,0,12,winter
2022-12-06,3905.01,3905.01,87,-19.279477556135706,1,0,0,0,12,winter
2022-12-07,4123.5,4123.5,92,-21.491994889205785,2,0,0,0,12,winter
2022-12-08,5157.6,5157.6,115,-12.663478612249747,3,0,0,0,12,winter
2022-12-09,,5371.23,119,-12.702510187127043,4,0,0,0,12,winter
